Nom,Présentation,Statut juridique,Domaine(s),Région(s),Numéro SIREN,Fiche URSCOP,Adresse,Adhérent CoopTech,Notes,latitude,longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode
Hyco,Édition de logiciel et prestations d’accompagnement à leur mise en place,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/hyco?field_code_naf_target_id=&page=4,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Id Nouvelles,"Assistance technique, conseil, ingénierie, développement, vente, formation, traduction, documentation, prestations de services en informatique...",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/id-nouvelles,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Impulsion Digitale Rh,"Audit, services, accompagnement et ingénierie.",SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/impulsion-digitale-rh?page=13,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Incaya,"Assistance à maîtrise d'ouvrage, veille et innovation technique. Réalisation de prototypes logiciels et matériels pour projets scientifiques...",SCOP,,Île-de-France (FR),,https://www.les-scop.coop/incaya?field_code_naf=&field_depart=All&field_secteur_activite_structure=1879&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Infologis,"Développement, mise au point et vente de tous logiciels informatisés liés au domaine du service à la personne au domicile.",SCOP,,Centre-Val de Loire (FR),,https://www.les-scop.coop/infologis,,,,47.842072,2.000717,Chemin de la Hare,Chemin de la Hare 45590 Saint-Cyr-en-Val,Saint-Cyr-en-Val,
Insiders.Coop,Coopérative de Service en Informatique décisionnelle et gestion de données,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/insiderscoop?field_code_naf=&page=13&selector=.js-view-dom-id-2587f8e44cf9c3af95fdb218b23fa72a45fe0c881655bd3c3bd46c231dcf11c6,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Insite,"Création, maintenance, et promotion de serveurs web ; la location et la revente de matériels et de logiciels informatiques, le...",SCOP,,Hauts-de-France (FR),,https://www.les-scop.coop/insite,,,,49.595095,3.374697,Rue de la 1ere Div Fr Libre,Rue de la 1ere Div Fr Libre 02410 Saint-Gobain,Saint-Gobain,
Intis,Cabinet de conseil pour la performance.,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/intis?page=4,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Inventiv It,Conseil dans les technologies de l'information.,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/inventiv-it?field_code_naf_target_id=&page=4,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Jolly Rogers Productions,Production audiovisuelle et jeux vidéo,SCOP,,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/jolly-rogers-productions?federation=federations/3/&field_code_naf=&page=41,,,,43.518365,5.460918,Résidence Fr Mistral All des Cigales,Résidence Fr Mistral All des Cigales 13100 Aix-en-Provence,Aix-en-Provence,
Kalimetrix,"Réalisation et vente de logiciels, prestation de services en informatique, commercialisation de tous systèmes informatiques, formation informatique.",SCOP,,Occitanie (FR),,https://www.les-scop.coop/kalimetrix?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Kapei,Société de services et d'ingénierie en informatique,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/kapei,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Kauriweb,"Agence de communication, conception et réalisation de sites internet et d'applications multimédia, formation et conseil en entreprises, maintenance...",SCOP,,Occitanie (FR),,https://www.les-scop.coop/kauriweb,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Kawagency,Développement de solutions numériques : sites internet / e-commerce / applications mobiles et vidéos,SCOP,,Grand Est (FR),,https://www.les-scop.coop/kawagency?field_code_naf_target_id=&page=4,,,,48.576464,7.751723,Rue Fred Vlès,Rue Fred Vlès 67000 Strasbourg,Strasbourg,
Kelis,Conseil et développement de systèmes d'information.,SCOP,,Hauts-de-France (FR),,https://www.les-scop.coop/kelis,,,,49.595095,3.374697,Rue de la 1ere Div Fr Libre,Rue de la 1ere Div Fr Libre 02410 Saint-Gobain,Saint-Gobain,
Kibatic,"Prestation de tous services informatiques, développement, production de logiciels - Hébergement conseil informatique.",SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/kibatic?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Kodyssee,Développement Informatique,SCOP,,Bretagne (FR),,https://www.les-scop.coop/kodyssee,,,,47.678914,-2.759753,Place Fred Regnier,Place Fred Regnier 56000 Vannes,Vannes,
La Coopérative Des Internets,Développement web,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/la-cooperative-des-internets?field_code_naf=&field_depart=All&field_secteur_activite_structure=1875&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
La Poule Noire,Création de produits vidéo-ludiques.,SCOP,,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/la-poule-noire?page=4,,,,44.766256,-1.1208,Allee d’Aquitaine,Allee d’Aquitaine 33740 Arès,Arès,
La Republique Du Clic (Lrdc),Agence en stratégie digitale et e-commerce.,SCOP,,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/la-republique-du-clic-lrdc,,,,45.337773,4.312641,Rue a C Afrique Fr Nord,Rue a C Afrique Fr Nord 43240 Saint-Just-Malmont,Saint-Just-Malmont,
Laetis Solutions Interactives,"Laëtis est une SCOP de 17 personnes, basée à Arvieu en Aveyron. L’agence co-conçoit et construit des solutions interactives utiles à la vie de tous...",SCOP,,Occitanie (FR),,https://www.les-scop.coop/laetis-solutions-interactives?field_code_naf=&field_depart=1383&field_secteur_activite_structure=1868&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Le Carré Numérique,hébergement de données et applications en cloud privé,SCOP,,Île-de-France (FR),,https://www.les-scop.coop/le-carre-numerique?page=4,,,,48.847044,2.567443,Rue des Femmes de Fr,Rue des Femmes de Fr 93160 Noisy-le-Grand,Noisy-le-Grand,
Le Filament,La Société coopérative poursuit comme objectif principal la recherche d’une utilité sociale. L’utilité sociale de la coopérative se traduit au travers...,SCOP,,Occitanie (FR),,https://www.les-scop.coop/le-filament?field_code_naf=&page=27,,,,43.768257,2.003781,Rue C E Fr Italie 1943 1944,Rue C E Fr Italie 1943 1944 81300 Graulhet,Graulhet,
Les Developpements Durables,"Multimédia - Service en logiciel libre: conseil, developpement, formation, accompagnement et maintenance (support technique).",SCOP,,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/les-developpements-durables?field_code_naf=&page=96&selector=.js-view-dom-id-952813ef72cf7de845e67dd7594fac5e5e15f570cfc9d3e977101415dd7f1763,,,,44.766256,-1.1208,Allee d’Aquitaine,Allee d’Aquitaine 33740 Arès,Arès,
Les Octets Libres,Programmation informatique.,SCOP,,Bretagne (FR),,https://www.les-scop.coop/les-octets-libres?federation=federations/3/&field_code_naf=&page=41,,,,47.678914,-2.759753,Place Fred Regnier,Place Fred Regnier 56000 Vannes,Vannes,
